OwnerId,PlayerId,PlayerBoughtForAmount
67f57320421edd01df76550b,8512,10
67f57341421edd01df76553c,12092,10
67f572b7421edd01df7654a9,16458,170
67f57320421edd01df76550b,9746,10
67f57b0e591a5fba60ffdee3,13184,20
67f57341421edd01df76553c,15480,20
67f571e8421edd01df765478,19807,20
67f573b4421edd01df7655cf,15452,140
67f57386421edd01df76559e,10952,120
67f57b0e591a5fba60ffdee3,8292,240
67f57365421edd01df76556d,8393,10
67f573b4421edd01df7655cf,7710,210
67f572de421edd01df7654da,8181,110
67f57365421edd01df76556d,10225,70
67f57320421edd01df76550b,10754,70
67f57386421edd01df76559e,14452,70
67f57365421edd01df76556d,10692,10
67f571e8421edd01df765478,7910,250
67f57899e82081c624131e28,13217,340
67f573b4421edd01df7655cf,11689,10
67f572de421edd01df7654da,14336,10
67f57341421edd01df76553c,10486,40
67f57320421edd01df76550b,12096,30
67f57b0e591a5fba60ffdee3,24729,170
67f571e8421edd01df765478,15861,10
67f57b0e591a5fba60ffdee3,12627,10
67f57b0e591a5fba60ffdee3,19027,30
67f57386421edd01df76559e,11427,10
67f57320421edd01df76550b,13143,20
67f572b7421edd01df7654a9,9311,320
67f57899e82081c624131e28,8117,220
67f57341421edd01df76553c,7836,100
67f57386421edd01df76559e,1844,10
67f57320421edd01df76550b,8531,10
67f57341421edd01df76553c,8349,30
67f572de421edd01df7654da,8356,80
67f57365421edd01df76556d,11307,100
67f573b4421edd01df7655cf,15727,20
67f57365421edd01df76556d,14190,70
67f572de421edd01df7654da,23346,10
67f57386421edd01df76559e,18504,40
67f57320421edd01df76550b,14282,80
67f57386421edd01df76559e,11540,100
67f57b0e591a5fba60ffdee3,1726,170
67f57365421edd01df76556d,6258,100
67f573b4421edd01df7655cf,18509,30
67f57365421edd01df76556d,9603,10
67f57386421edd01df76559e,14172,70
67f571e8421edd01df765478,14274,30
67f571e8421edd01df765478,36487,30
67f57b0e591a5fba60ffdee3,8095,140
67f572b7421edd01df7654a9,7909,300
67f572de421edd01df7654da,8175,170
67f57365421edd01df76556d,12087,80
67f571e8421edd01df765478,8642,50
67f572b7421edd01df7654a9,14163,20
67f57320421edd01df76550b,6327,10
67f572de421edd01df7654da,11436,20
67f57320421edd01df76550b,14659,220
67f573b4421edd01df7655cf,22401,60
67f57320421edd01df76550b,9781,110
67f571e8421edd01df765478,14726,50
67f572de421edd01df7654da,50458,10
67f571e8421edd01df765478,13534,70
67f571e8421edd01df765478,13320,10
67f57365421edd01df76556d,14596,20
67f57365421edd01df76556d,22141,20
67f57365421edd01df76556d,702,10
67f572de421edd01df7654da,9585,200
67f57365421edd01df76556d,10551,30
67f573b4421edd01df7655cf,12643,60
67f572b7421edd01df7654a9,10808,100
